id,parent,name,actual_name,level,rank,focus
1,,Marsupialia,Marsupials,1,Infraclass,0
2,1,Macropodidae,Kangaroos & Wallabies,2,Family,0
3,1,Phascolarctidae,Koalas,2,Family,0
4,1,Vombatidae,Wombats,2,Family,0
5,1,Dasyuridae,Quolls & Devils,2,Family,0
7,2,Osphranter,Osphranter,3,Genus,0
8,2,Macropus,Macropus,3,Genus,0
9,2,Notamacropus,Notamacropus,3,Genus,0
10,3,Phascolarctos,Phascolarctos,3,Genus,0
11,4,Vombatus,Vombatus,3,Genus,0
12,5,Sarcophilus,Sarcophilus,3,Genus,0
14,7,O. rufus,Red Kangaroo,4,Species,1
15,7,O. robustus,Wallaroo,4,Species,1
16,8,M. giganteus,Eastern Grey Kangaroo,4,Species,1
17,8,M. fuliginosus,Western Grey Kangaroo,4,Species,1
18,9,N. eugenii,Tammar Wallaby,4,Species,1
19,10,P. cinereus,Koala,4,Species,0
20,11,V. ursinus,Common Wombat,4,Species,0
21,12,S. harrisii,Tasmanian Devil,4,Species,0
