date,count,series
2010-01-01,13437757,Eastern Grey Kangaroo
2010-01-01,465000,Euro
2010-01-01,10145943,Red Kangaroo
2010-01-01,2494159,Wallaroo
2010-01-01,3534255,Western Grey Kangaroo
2011-01-01,11820235,Eastern Grey Kangaroo
2011-01-01,411000,Euro
2011-01-01,8542148,Red Kangaroo
2011-01-01,2005285,Wallaroo
2011-01-01,2870249,Western Grey Kangaroo
2012-01-01,11820235,Eastern Grey Kangaroo
2012-01-01,411000,Euro
2012-01-01,8542148,Red Kangaroo
2012-01-01,2005285,Wallaroo
2012-01-01,2870249,Western Grey Kangaroo
2013-01-01,21425409,Eastern Grey Kangaroo
2013-01-01,487654,Euro
2013-01-01,11741499,Red Kangaroo
2013-01-01,3838080,Wallaroo
2013-01-01,2405492,Western Grey Kangaroo
2014-01-01,28036085,Eastern Grey Kangaroo
2014-01-01,887651,Euro
2014-01-01,15992752,Red Kangaroo
2014-01-01,6550575,Wallaroo
2014-01-01,4251479,Western Grey Kangaroo
2015-01-01,25034517,Eastern Grey Kangaroo
2015-01-01,487654,Euro
2015-01-01,16257384,Red Kangaroo
2015-01-01,4906650,Wallaroo
2015-01-01,3981536,Western Grey Kangaroo
2016-01-01,24711153,Eastern Grey Kangaroo
2016-01-01,485865,Euro
2016-01-01,15926156,Red Kangaroo
2016-01-01,3794925,Wallaroo
2016-01-01,4561201,Western Grey Kangaroo
2017-01-01,23920244,Eastern Grey Kangaroo
2017-01-01,564802,Euro
2017-01-01,15916096,Red Kangaroo
2017-01-01,3618000,Wallaroo
2017-01-01,4447868,Western Grey Kangaroo
2018-01-01,23001050,Eastern Grey Kangaroo
2018-01-01,662134,Euro
2018-01-01,13882347,Red Kangaroo
2018-01-01,3618000,Wallaroo
2018-01-01,4800908,Western Grey Kangaroo
2019-01-01,21448840,Eastern Grey Kangaroo
2019-01-01,615675,Euro
2019-01-01,12598997,Red Kangaroo
2019-01-01,3611390,Wallaroo
2019-01-01,3887532,Western Grey Kangaroo
2020-01-01,24052387,Eastern Grey Kangaroo
2020-01-01,570021,Euro
2020-01-01,11359143,Red Kangaroo
2020-01-01,87043,Tammar Wallaby
2020-01-01,2907000,Wallaroo
2020-01-01,3781023,Western Grey Kangaroo
2021-01-01,14801722,Eastern Grey Kangaroo
2021-01-01,34883,Euro
2021-01-01,1911626,Grey Kangaroo
2021-01-01,9346914,Red Kangaroo
2021-01-01,34883,Tammar Wallaby
2021-01-01,1852280,Wallaroo
2021-01-01,3545551,Western Grey Kangaroo
2022-01-01,13048565,Eastern Grey Kangaroo
2022-01-01,302821,Euro
2022-01-01,1858150,Grey Kangaroo
2022-01-01,10848470,Red Kangaroo
2022-01-01,42221,Tammar Wallaby
2022-01-01,2035255,Wallaroo
2022-01-01,2830882,Western Grey Kangaroo
2023-01-01,14926428,Eastern Grey Kangaroo
2023-01-01,375921,Euro
2023-01-01,2363850,Grey Kangaroo
2023-01-01,12623966,Red Kangaroo
2023-01-01,384671,Tammar Wallaby
2023-01-01,2334066,Wallaroo
2023-01-01,3545338,Western Grey Kangaroo
2024-01-01,15597740,Eastern Grey Kangaroo
2024-01-01,430872,Euro
2024-01-01,2363850,Grey Kangaroo
2024-01-01,11915926,Red Kangaroo
2024-01-01,384671,Tammar Wallaby
2024-01-01,2128616,Wallaroo
2024-01-01,2510986,Western Grey Kangaroo
